[2026-04-19T22:10:16.610+0100][0.852s][info][gc,phases   ] GC(11)   Other: 0.0ms
[2026-04-19T22:10:16.610+0100][0.852s][info][gc,heap     ] GC(11) Eden regions: 109->0(109)
[2026-04-19T22:10:16.610+0100][0.852s][info][gc,heap     ] GC(11) Survivor regions: 4->4(15)
[2026-04-19T22:10:16.610+0100][0.852s][info][gc,heap     ] GC(11) Old regions: 3->3
[2026-04-19T22:10:16.610+0100][0.852s][info][gc,heap     ] GC(11) Humongous regions: 0->0
[2026-04-19T22:10:16.610+0100][0.852s][info][gc,metaspace] GC(11) Metaspace: 239K(448K)->239K(448K) NonClass: 227K(320K)->227K(320K) Class: 11K(128K)->11K(128K)
[2026-04-19T22:10:16.610+0100][0.852s][info][gc          ] GC(11) Pause Young (Normal) (G1 Evacuation Pause) 114M->4M(189M) 1.204ms
[2026-04-19T22:10:16.610+0100][0.852s][info][gc,cpu      ] GC(11) User=0.00s Sys=0.00s Real=0.01s
[2026-04-19T22:10:16.688+0100][0.931s][info][gc,start    ] GC(12) Pause Young (Normal) (G1 Evacuation Pause)
[2026-04-19T22:10:16.688+0100][0.931s][info][gc,task     ] GC(12) Using 4 workers of 8 for evacuation
[2026-04-19T22:10:16.689+0100][0.932s][info][gc,phases   ] GC(12)   Pre Evacuate Collection Set: 0.1ms
[2026-04-19T22:10:16.689+0100][0.932s][info][gc,phases   ] GC(12)   Merge Heap Roots: 0.0ms
[2026-04-19T22:10:16.689+0100][0.932s][info][gc,phases   ] GC(12)   Evacuate Collection Set: 0.9ms
[2026-04-19T22:10:16.689+0100][0.932s][info][gc,phases   ] GC(12)   Post Evacuate Collection Set: 0.1ms
[2026-04-19T22:10:16.689+0100][0.932s][info][gc,phases   ] GC(12)   Other: 0.0ms
[2026-04-19T22:10:16.689+0100][0.932s][info][gc,heap     ] GC(12) Eden regions: 109->0(109)
[2026-04-19T22:10:16.689+0100][0.932s][info][gc,heap     ] GC(12) Survivor regions: 4->4(15)
[2026-04-19T22:10:16.689+0100][0.932s][info][gc,heap     ] GC(12) Old regions: 3->3
[2026-04-19T22:10:16.689+0100][0.932s][info][gc,heap     ] GC(12) Humongous regions: 0->0
[2026-04-19T22:10:16.689+0100][0.932s][info][gc,metaspace] GC(12) Metaspace: 239K(448K)->239K(448K) NonClass: 227K(320K)->227K(320K) Class: 11K(128K)->11K(128K)
[2026-04-19T22:10:16.689+0100][0.932s][info][gc          ] GC(12) Pause Young (Normal) (G1 Evacuation Pause) 113M->4M(189M) 1.221ms
[2026-04-19T22:10:16.689+0100][0.932s][info][gc,cpu      ] GC(12) User=0.00s Sys=0.00s Real=0.00s
[2026-04-19T22:10:16.768+0100][1.010s][info][gc,start    ] GC(13) Pause Young (Normal) (G1 Evacuation Pause)
[2026-04-19T22:10:16.768+0100][1.010s][info][gc,task     ] GC(13) Using 4 workers of 8 for evacuation
[2026-04-19T22:10:16.769+0100][1.011s][info][gc,phases   ] GC(13)   Pre Evacuate Collection Set: 0.1ms
[2026-04-19T22:10:16.769+0100][1.012s][info][gc,phases   ] GC(13)   Merge Heap Roots: 0.0ms
[2026-04-19T22:10:16.769+0100][1.012s][info][gc,phases   ] GC(13)   Evacuate Collection Set: 0.8ms
[2026-04-19T22:10:16.769+0100][1.012s][info][gc,phases   ] GC(13)   Post Evacuate Collection Set: 0.1ms
[2026-04-19T22:10:16.769+0100][1.012s][info][gc,phases   ] GC(13)   Other: 0.0ms
[2026-04-19T22:10:16.769+0100][1.012s][info][gc,heap     ] GC(13) Eden regions: 109->0(109)
[2026-04-19T22:10:16.769+0100][1.012s][info][gc,heap     ] GC(13) Survivor regions: 4->4(15)
[2026-04-19T22:10:16.769+0100][1.012s][info][gc,heap     ] GC(13) Old regions: 3->3
[2026-04-19T22:10:16.769+0100][1.012s][info][gc,heap     ] GC(13) Humongous regions: 0->0
[2026-04-19T22:10:16.769+0100][1.012s][info][gc,metaspace] GC(13) Metaspace: 239K(448K)->239K(448K) NonClass: 227K(320K)->227K(320K) Class: 11K(128K)->11K(128K)
[2026-04-19T22:10:16.769+0100][1.012s][info][gc          ] GC(13) Pause Young (Normal) (G1 Evacuation Pause) 113M->5M(189M) 1.215ms
[2026-04-19T22:10:16.769+0100][1.012s][info][gc,cpu      ] GC(13) User=0.00s Sys=0.00s Real=0.00s
[2026-04-19T22:10:16.847+0100][1.090s][info][gc,start    ] GC(14) Pause Young (Normal) (G1 Evacuation Pause)
[2026-04-19T22:10:16.847+0100][1.090s][info][gc,task     ] GC(14) Using 4 workers of 8 for evacuation
[2026-04-19T22:10:16.848+0100][1.091s][info][gc,phases   ] GC(14)   Pre Evacuate Collection Set: 0.1ms
[2026-04-19T22:10:16.848+0100][1.091s][info][gc,phases   ] GC(14)   Merge Heap Roots: 0.0ms
[2026-04-19T22:10:16.848+0100][1.091s][info][gc,phases   ] GC(14)   Evacuate Collection Set: 0.9ms
[2026-04-19T22:10:16.848+0100][1.091s][info][gc,phases   ] GC(14)   Post Evacuate Collection Set: 0.1ms
[2026-04-19T22:10:16.849+0100][1.091s][info][gc,phases   ] GC(14)   Other: 0.0ms
[2026-04-19T22:10:16.849+0100][1.091s][info][gc,heap     ] GC(14) Eden regions: 109->0(109)
[2026-04-19T22:10:16.849+0100][1.091s][info][gc,heap     ] GC(14) Survivor regions: 4->4(15)
[2026-04-19T22:10:16.849+0100][1.091s][info][gc,heap     ] GC(14) Old regions: 3->3
[2026-04-19T22:10:16.849+0100][1.091s][info][gc,heap     ] GC(14) Humongous regions: 0->0
[2026-04-19T22:10:16.849+0100][1.091s][info][gc,metaspace] GC(14) Metaspace: 239K(448K)->239K(448K) NonClass: 227K(320K)->227K(320K) Class: 11K(128K)->11K(128K)
[2026-04-19T22:10:16.849+0100][1.091s][info][gc          ] GC(14) Pause Young (Normal) (G1 Evacuation Pause) 114M->5M(189M) 1.205ms
[2026-04-19T22:10:16.849+0100][1.091s][info][gc,cpu      ] GC(14) User=0.01s Sys=0.00s Real=0.00s
[2026-04-19T22:10:16.929+0100][1.172s][info][gc,start    ] GC(15) Pause Young (Normal) (G1 Evacuation Pause)
[2026-04-19T22:10:16.929+0100][1.172s][info][gc,task     ] GC(15) Using 4 workers of 8 for evacuation
[2026-04-19T22:10:16.930+0100][1.173s][info][gc,phases   ] GC(15)   Pre Evacuate Collection Set: 0.1ms
[2026-04-19T22:10:16.930+0100][1.173s][info][gc,phases   ] GC(15)   Merge Heap Roots: 0.0ms
[2026-04-19T22:10:16.930+0100][1.173s][info][gc,phases   ] GC(15)   Evacuate Collection Set: 1.0ms
